"","ZIPCODE","total_income"
"1377",72901,308671
"1378",72903,716574
"1379",72904,221898
"1380",72908,330940
"1381",72916,297612
"1382",72921,255848
"1383",72923,76227
"1384",72926,6235
"1385",72927,119955
"1386",72928,9973
"1387",72930,8041
"1388",72932,24186
"1389",72933,94240
"1390",72934,9261
"1391",72936,321151
"1392",72937,59608
"1393",72938,16531
"1394",72940,38795
"1395",72941,104056
"1396",72943,34649
"1397",72944,42723
"1398",72946,49957
"1399",72947,58324
"1400",72948,7730
"1401",72949,166454
"1402",72950,3855
"1403",72951,16867
"1404",72952,43547
"1405",72955,6406
"1406",72956,577022
"1407",72958,92058
"1408",72959,41938
"1409",99999,1947553
"1410",0,1228344911
"1411",90001,531772
"1412",90002,467128
"1413",90003,618848
"1414",90004,1649431
"1415",90005,717290
"1416",90006,571157
"1417",90007,315581
"1418",90008,668523
"1419",90010,320471
"1420",90011,864961
"1421",90012,457926
"1422",90013,252309
"1423",90014,230443
"1424",90015,443992
"1425",90016,796426
"1426",90017,511945
"1427",90018,663464
"1428",90019,1295666
"1429",90020,981789
"1430",90021,105317
"1431",90022,767484
"1432",90023,485681
"1433",90024,4395487
"1434",90025,4019082
"1435",90026,1399546
"1436",90027,1687228
"1437",90028,618555
"1438",90029,534452
"1439",90031,532327
"1440",90032,705298
"1441",90033,448056
"1442",90034,1828572
"1443",90035,1302216
"1444",90036,1905188
"1445",90037,557462
"1446",90038,465940
"1447",90039,1031826
"1448",90040,228829
"1449",90041,798088
"1450",90042,1171845
"1451",90043,903067
"1452",90044,926787
"1453",90045,1833173
"1454",90046,2307707
"1455",90047,824676
"1456",90048,1494748
"1457",90049,5919732
"1458",90056,394662
"1459",90057,380233
"1460",90058,96813
"1461",90059,416253
"1462",90061,315218
"1463",90062,394799
"1464",90063,585473
"1465",90064,2698330
"1466",90065,1079475
"1467",90066,2225044
"1468",90067,2616538
"1469",90068,1398287
"1470",90069,2008322
"1471",90077,1678772
"1472",90094,394432
"1473",90201,1040979
"1474",90210,5011555
"1475",90211,1089825
"1476",90212,2465717
"1477",90220,669864
"1478",90221,605221
"1479",90222,359139
"1480",90230,1206646
"1481",90232,676265
